worker,language,age,gender,education,occupation,colors,order,qType,cond,scenario,who,whoCorrect,what,whatCorrect,where,whereCorrect,month,monthCorrect,day,dayCorrect,time,timeCorrect,ampm,ampmCorrect,responseTime,comments,mental,physical,temp,success,perf,stress,preference,trust1,trust2,trust3,trust4,trust5,trust6,trust7,trust8,trust9,trust10,trust11,trust12
56c93a3c3803534466f9155054bad062--1545327367,Yes,30-49,Other/prefer not to say ,Ed2,O3,5,NA,inst,,,,,,,,,,,,,,,,,18131,,,,,,,,,,,,,,,,,,,,
56c93a3c3803534466f9155054bad062--1545327367,Yes,30-49,Other/prefer not to say ,Ed2,O3,5,NA,inst,,,,,,,,,,,,,,,,,1224,,,,,,,,,,,,,,,,,,,,
56c93a3c3803534466f9155054bad062--1545327367,Yes,30-49,Other/prefer not to say ,Ed2,O3,5,NA,introTraining,P,,,,,,,,,,,,,,,,1455,,,,,,,,,,,,,,,,,,,,
56c93a3c3803534466f9155054bad062--1545327367,Yes,30-49,Other/prefer not to say ,Ed2,O3,5,NA,training,P,,Tetrahedron,False,military-base,False,Gibbonland*,True,January*,True,1*,True,1:00,False,AM,False,13305,,,,,,,,,,,,,,,,,,,,
56c93a3c3803534466f9155054bad062--1545327367,Yes,30-49,Other/prefer not to say ,Ed2,O3,5,NA,afterScen,,,,,,,,,,,,,,,,,2651,,,,,,,,,,,,,,,,,,,,
56c93a3c3803534466f9155054bad062--1545327367,Yes,30-49,Other/prefer not to say ,Ed2,O3,5,NA,introTraining,M,,,,,,,,,,,,,,,,1254,,,,,,,,,,,,,,,,,,,,
56c93a3c3803534466f9155054bad062--1545327367,Yes,30-49,Other/prefer not to say ,Ed2,O3,5,NA,training,M,,Tetrahedron*,True,hotel,False,Lemurland*,True,January,False,1*,True,1:00,False,PM,False,5675,,,,,,,,,,,,,,,,,,,,
56c93a3c3803534466f9155054bad062--1545327367,Yes,30-49,Other/prefer not to say ,Ed2,O3,5,NA,afterScen,,,,,,,,,,,,,,,,,6367,,,,,,,,,,,,,,,,,,,,
56c93a3c3803534466f9155054bad062--1545327367,Yes,30-49,Other/prefer not to say ,Ed2,O3,5,NA,trust-pre,,,,,,,,,,,,,,,,,9939,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
56c93a3c3803534466f9155054bad062--1545327367,Yes,30-49,Other/prefer not to say ,Ed2,O3,5,NA,introTest,,,,,,,,,,,,,,,,,1005,,,,,,,,,,,,,,,,,,,,
56c93a3c3803534466f9155054bad062--1545327367,Yes,30-49,Other/prefer not to say ,Ed2,O3,5,1,testing,M,4,Silver*,True,secular-school*,True,Omicronland*,True,January*,True,1*,True,9:00*,True,AM*,True,33311,,,,,,,,,,,,,,,,,,,,
56c93a3c3803534466f9155054bad062--1545327367,Yes,30-49,Other/prefer not to say ,Ed2,O3,5,NA,afterScen,,,,,,,,,,,,,,,,,1843,,,,,,,,,,,,,,,,,,,,
